"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.805538988E2,1.779503632E1,1.855678940E1,-4.577978516E1
1.805639078E2,1.779503632E1,1.855678940E1,-4.577978516E1
1.805739178E2,1.776157379E1,1.883701706E1,-4.558575439E1
1.805838833E2,1.776157379E1,1.883701706E1,-4.558575439E1
1.805938933E2,1.779462433E1,1.894045639E1,-4.569860840E1
1.806039033E2,1.779462433E1,1.894045639E1,-4.569860840E1
1.806138823E2,1.767925262E1,1.880098343E1,-4.571203613E1
1.806238923E2,1.767925262E1,1.880098343E1,-4.571203613E1
1.806338713E2,1.806279755E1,1.881785202E1,-4.588537598E1
1.806438813E2,1.806279755E1,1.881785202E1,-4.588537598E1
1.806538913E2,1.768909454E1,1.884468460E1,-4.593817139E1
1.806638703E2,1.768909454E1,1.884468460E1,-4.593817139E1
1.806738803E2,1.809403229E1,1.887495804E1,-4.575671387E1
1.806838893E2,1.809403229E1,1.887495804E1,-4.575671387E1
1.806938693E2,1.788407135E1,1.876488876E1,-4.566278076E1
1.807038783E2,1.788407135E1,1.876488876E1,-4.566278076E1
1.807138883E2,1.797429657E1,1.877675247E1,-4.582287598E1
1.807238673E2,1.797429657E1,1.877675247E1,-4.582287598E1
1.807338773E2,1.776903534E1,1.875551987E1,-4.559643555E1
1.807438573E2,1.776903534E1,1.875551987E1,-4.559643555E1
1.807538663E2,1.771533966E1,1.890127182E1,-4.590466309E1
1.807638763E2,1.771533966E1,1.890127182E1,-4.590466309E1
1.807738553E2,1.792829132E1,1.880595016E1,-4.595605469E1
1.807838653E2,1.792829132E1,1.880595016E1,-4.595605469E1
1.807938753E2,1.804062653E1,1.879483414E1,-4.591162109E1
1.808038543E2,1.804062653E1,1.879483414E1,-4.591162109E1
1.808138643E2,1.810192108E1,1.897153091E1,-4.578582764E1
1.808238433E2,1.810192108E1,1.897153091E1,-4.578582764E1
1.808338533E2,1.787406158E1,1.892854691E1,-4.568670654E1
1.808438633E2,1.787406158E1,1.892854691E1,-4.568670654E1
1.808538423E2,1.785948944E1,1.883650589E1,-4.568951416E1
1.808638523E2,1.785948944E1,1.883650589E1,-4.568951416E1
1.808738613E2,1.773816681E1,1.873042679E1,-4.580029297E1
1.808838413E2,1.773816681E1,1.873042679E1,-4.580029297E1
1.808938503E2,1.786937714E1,1.882295609E1,-4.573809814E1
1.809038603E2,1.786937714E1,1.882295609E1,-4.573809814E1
1.809138393E2,1.793546295E1,1.883487320E1,-4.576452637E1
1.809238493E2,1.793546295E1,1.883487320E1,-4.576452637E1
1.809338283E2,1.777449799E1,1.885277939E1,-4.576837158E1
1.809438383E2,1.777449799E1,1.885277939E1,-4.576837158E1
1.809538483E2,1.751549530E1,1.892854691E1,-4.582269287E1
1.809638273E2,1.751549530E1,1.892854691E1,-4.582269287E1
1.809738373E2,1.765749359E1,1.885822678E1,-4.569714355E1
1.809838473E2,1.765749359E1,1.885822678E1,-4.569714355E1
1.809938263E2,1.812885284E1,1.884939194E1,-4.571545410E1
1.810038363E2,1.812885284E1,1.884939194E1,-4.571545410E1
1.810138153E2,1.789669037E1,1.898307419E1,-4.569763184E1
1.810238253E2,1.789669037E1,1.898307419E1,-4.569763184E1
1.810338353E2,1.791120148E1,1.899736404E1,-4.595349121E1
1.810438143E2,1.791120148E1,1.899736404E1,-4.595349121E1
1.810538243E2,1.765618134E1,1.885636520E1,-4.573571777E1
1.810638333E2,1.765618134E1,1.885636520E1,-4.573571777E1
1.810738133E2,1.761379242E1,1.879565048E1,-4.593072510E1
1.810838223E2,1.761379242E1,1.879565048E1,-4.593072510E1
1.810938323E2,1.779975128E1,1.884514236E1,-4.586193848E1
1.811038113E2,1.779975128E1,1.884514236E1,-4.586193848E1
1.811138213E2,1.776731110E1,1.898456192E1,-4.559960938E1
1.811238003E2,1.776731110E1,1.898456192E1,-4.559960938E1
1.811338103E2,1.797827911E1,1.867567825E1,-4.581536865E1
1.811438203E2,1.797827911E1,1.867567825E1,-4.581536865E1
1.811537993E2,1.802993011E1,1.884000015E1,-4.570727539E1
1.811638093E2,1.802993011E1,1.884000015E1,-4.570727539E1
1.811738193E2,1.778948212E1,1.878888321E1,-4.586621094E1
1.811837983E2,1.778948212E1,1.878888321E1,-4.586621094E1
1.811938083E2,1.768036652E1,1.897164536E1,-4.599645996E1
1.812037873E2,1.768036652E1,1.897164536E1,-4.599645996E1
1.812137973E2,1.766002655E1,1.887519455E1,-4.574249268E1
1.812238063E2,1.766002655E1,1.887519455E1,-4.574249268E1
1.812337863E2,1.760572052E1,1.879802322E1,-4.582635498E1
1.812437953E2,1.760572052E1,1.879802322E1,-4.582635498E1
1.812538053E2,1.771764374E1,1.879069901E1,-4.563476562E1
1.812637843E2,1.771764374E1,1.879069901E1,-4.563476562E1
1.812737943E2,1.746436310E1,1.877096176E1,-4.569470215E1
1.812838043E2,1.746436310E1,1.877096176E1,-4.569470215E1
