Time (s),X (hPa)
1654803376033914880,985.2548218000001
1654803377099972096,985.2548218000001
1654803378166046976,985.2540587999999
1654803379232186880,985.253067
1654803380298386944,985.253067
1654803381364587008,985.2534485
1654803382430746880,985.2534485
1654803383496925952,985.2516174000001
1654803384563137024,985.2514648
1654803385629344000,985.2516174000001
1654803386695554048,985.2514648
1654803387761723904,985.2507019
1654803388827922944,985.2502440999999
1654803389894039040,985.2497101
1654803390960197888,985.2497101
1654803392026356992,985.2498627
1654803393092462080,985.2513123
1654803394158600960,985.2541351
1654803395224764928,985.2565765
1654803396290906112,985.2575684000001
1654803397357093888,985.2596283
1654803398423273984,985.2606963999999
1654803399489425920,985.2606963999999
1654803400555517952,985.2606201
1654803403686607104,985.2697754000001
1654803404719409920,985.2803039999999
1654803405752363008,985.2909087999999
1654803406785294080,985.3016662999999
1654803407818268928,985.3092957
1654803408010501120,985.3099060000001
1654803409076796928,985.3115082
1654803410143097856,985.3115082
1654803411209316096,985.3210449
1654803412275593984,985.3322601
1654803413341829120,985.3443146
1654803414408078080,985.3569794
1654803415474191872,985.3698730000001
1654803416540313088,985.3729248
1654803417606487040,985.3736877
1654803418672646912,985.3736877
1654803419738874880,985.373764
1654803420805125888,985.3748322
1654803421871332096,985.3765868999999
1654803422937591040,985.3767395
1654803424003845888,985.3788757000001
1654803425070084096,985.3791809
1654803426136337920,985.3819275000001
1654803427202509056,985.3835297
1654803428268741888,985.3852081
1654803429334972928,985.3862
1654803430401272064,985.3895569
1654803431467566080,985.3895569
1654803432533858048,985.3881072999999
1654803433600130048,985.3881072999999
1654803434666432000,985.3866577
1654803435732745984,985.3866577
1654803436799060992,985.3871918
1654803437865374976,985.3880310000001
1654803438931617024,985.3881836000002
1654803439997851904,985.390625
1654803441064218112,985.3909302000001
1654803442130544896,985.3931427000001
1654803443196858880,985.3953552000002
1654803444263152128,985.3978729
1654803445329377024,985.4000854000001
1654803446395596032,985.4022980000001
1654803447461892096,985.4029082999999
1654803448528244992,985.4042816
1654803449594555904,985.4045867999998
1654803450660796928,985.4056549000001
1654803451727097088,985.4064940999999
1654803452793420032,985.4056549000001
1654803453859740928,985.4055786
1654803454926071040,985.4053497000001
1654803455992400896,985.4055786
1654803457058791936,985.4051207999998
1654803458125135104,985.4057312000001
1654803459191440896,985.4084015000001
1654803460257732096,985.4111481000001
1654803461324104960,985.4111481000001
1654803462390507008,985.4014587000001
1654803463456921088,985.3914642000001
1654803464523315968,985.3778076
1654803465589668096,985.3647614
1654803466656056064,985.3601074
1654803467722420992,985.3601074
1654803468788743936,985.3692627
1654803469855109888,985.3816222999999
1654803470921428992,985.3911591
1654803471987788032,985.4026031
1654803473054167040,985.4038239
1654803474120498944,985.4038239
1654803475186846976,985.4036712999999
1654803476253179904,985.4036712999999
1654803477319576064,985.4039001
1654803478385914112,985.4045105
1654803479452272128,985.4055023
1654803480518694912,985.4077911
1654803481585121024,985.4102324999999
1654803482651512064,985.4129791000001
1654803483717895936,985.4147339
1654803484784274944,985.4164886
1654803485850642944,985.4164886
1654803486917052928,985.4161072
1654803487983360000,985.4161072
1654803489049733888,985.407486
1654803490116047872,985.3934479000001
1654803491182425088,985.3797912999999
1654803492248822016,985.3666687000001
1654803493315238912,985.353241
1654803494381632000,985.3479004000001
1654803495447968000,985.3479004000001
1654803496514356992,985.3479004000001
1654803497580783104,985.3479004000001
1654803498647223040,985.3500366000001
1654803499713605120,985.3512572999999
1654803500779964928,985.3543854000001
1654803501846343936,985.3661346000001
1654803502912739072,985.382309
1654803503979119104,985.3958892999999
1654803505045517056,985.4100037000001
1654803506111923968,985.4228210000001
1654803507178352896,985.4268645999999
1654803508244709120,985.4273987
1654803509311089920,985.4268645999999
1654803510377524992,985.4244232000001
1654803511443897088,985.4213715
1654803512510273024,985.4199982000001
